length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
7,4,1,1,5,0,0,2.807354922057604,0.4857142857142857,1,1,105,13880
8,4,1,1,5,1,0,3.0,0.9333333333333335,0,0,0,6574
20,4,4,7,11,0,1,3.6841837197791887,0.9333333333333335,1,0,832,7305
6,8,1,1,4,0,0,2.584962500721156,0.5852078142535782,1,5,1114,0
8,4,1,1,5,1,0,3.0,0.9333333333333335,0,0,0,6574
20,3,3,6,12,0,1,3.8841837197791884,0.9583333333333334,0,0,0,1096
10,6,2,3,6,0,0,2.7219280948873625,0.8512724014336917,1,3,204,10956
13,4,2,3,9,0,0,3.238901256602631,0.9444444444444445,1,2,0,12053
8,4,2,3,3,1,0,2.75,0.6892409092611317,0,0,0,6714
9,2,1,1,5,2,0,2.9477027792200903,0.0,0,1,0,4748
9,4,2,2,6,0,0,2.94770277922009,0.9333333333333335,0,1,0,6575
10,10,3,4,5,0,0,2.9219280948873623,0.6054429492981871,1,2,465,11627
9,7,3,3,5,0,0,2.94770277922009,0.8243021346469623,1,2,1329,9862
6,3,2,2,3,0,0,2.584962500721156,0.9090909090909091,1,1,8,10229
14,5,4,5,8,0,0,3.521640636343319,0.9473684210526316,1,4,0,8766
11,4,3,4,6,0,0,3.095795255000934,0.831439393939394,1,4,536,10591
7,4,2,3,3,0,0,2.521640636343318,0.6901145403673209,1,2,78,9130
14,4,2,4,8,0,1,3.4677201004744997,0.9473684210526315,0,0,0,1096
10,2,2,3,6,0,0,2.9219280948873623,1.0,1,1,70,9131
6,4,1,1,4,0,0,2.2516291673878226,0.9090909090909091,2,3,515,14328
5,8,1,1,3,0,0,2.321928094887362,0.9206349206349204,0,5,176,15176
13,4,3,4,5,3,0,3.238901256602631,0.8313030638612032,1,0,3658,7670
20,4,4,8,11,0,0,3.5464393446710156,0.9333333333333335,1,1,0,8401
12,4,1,3,8,0,0,3.188721875540867,0.9333333333333335,1,0,289,9131
10,4,1,3,6,0,0,2.846439344671016,0.9333333333333335,1,0,0,5113
11,13,1,4,6,0,0,2.7321588913645707,0.8477923000865163,0,0,0,8766
9,5,3,4,4,0,0,2.94770277922009,0.9333333333333333,1,10,686,9862
16,4,3,4,11,0,0,3.5,0.9473684210526315,0,0,0,6940
11,15,3,3,7,0,0,3.095795255000934,0.5802519433306775,1,1,2830,11322
18,3,4,5,11,0,1,3.7254805569978675,0.9565217391304349,1,0,1106,5479
17,4,4,7,9,0,0,3.3815804883091634,0.9545454545454547,1,1,70,8036
11,4,2,4,6,0,0,2.8453509366224368,0.7113095238095237,1,5,1324,10226
10,4,3,3,6,0,0,3.121928094887362,0.6664906564805453,1,5,2236,7670
9,5,4,4,4,0,0,3.169925001442312,0.9285714285714286,1,2,2,10593
11,4,3,3,6,0,1,3.277613436819116,0.6820180718057361,0,0,0,4018
11,8,3,3,6,1,0,3.459431618637298,0.768522162758318,1,7,615,7670
7,8,2,2,3,1,0,2.807354922057604,0.818262721755369,0,1,0,11451
