length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
14,2,3,5,8,0,0,3.324862958,0,0,0,0,4748
10,2,3,3,6,0,0,3.121928095,1,1,0,0,6574
10,3,3,3,6,0,0,3.321928095,0.933333333,1,0,292,6209
14,2,4,5,8,0,0,3.521640636,1,1,1,1,7305
13,2,4,5,7,0,0,3.238901257,1,1,0,0,4748
10,4,3,4,5,0,0,3.121928095,0.933333333,1,1,111,8400
13,4,3,4,8,0,0,3.546593564,0.944444444,1,0,8,5479
10,3,4,4,5,0,0,3.321928095,0.933333333,1,1,809,7305
12,3,4,4,7,0,0,3.418295834,0.933333333,1,0,0,5113
13,4,3,6,6,0,0,3.180832987,0.688550778,1,2,1174,10958
19,2,5,9,9,0,0,3.616348566,1,1,5,0,7305
12,4,2,4,7,0,0,3.084962501,0.705113925,0,0,0,1826
10,4,3,3,6,0,0,2.846439345,0.9375,1,1,0,9496
16,2,3,6,9,0,0,3.375,1,1,1,977,1826
17,2,3,6,10,0,0,3.175123135,1,1,5,1354,7670
6,2,2,2,3,0,0,2.584962501,1,1,1,178,10621
11,4,2,3,7,0,0,3.277613437,0.966666667,1,5,0,4748
8,4,2,3,4,0,0,2.75,0.689283007,1,6,3,4383
8,3,2,3,4,0,0,2.5,0.933333333,1,0,85,8401
19,8,3,6,11,0,1,3.536886724,0.818262722,1,0,0,5114
9,8,2,4,4,0,0,2.641604168,0.818262722,1,1,2167,9430
12,8,2,4,6,0,0,3.084962501,0.818262722,1,1,56,0
12,8,3,5,5,0,0,3.084962501,0.818262722,1,1,1456,11083
10,8,2,4,5,0,0,2.721928095,0.818262722,1,1,1745,11321
13,8,3,6,5,0,0,2.87314068,0.818262722,1,1,50,0
13,8,2,4,7,0,0,3.085055103,0.818262722,1,1,1557,10958
13,8,2,4,7,0,0,2.87314068,0.818262722,1,1,2729,10226
9,8,3,4,4,0,0,2.947702779,0.818262722,1,1,239,0
10,4,3,4,5,0,0,3.121928095,0.674081564,0,0,0,0
9,8,3,4,4,0,0,2.947702779,0.818262722,1,1,2729,0
9,8,3,4,4,0,0,2.947702779,0.818262722,1,1,1411,0
9,8,2,3,5,0,0,2.947702779,0.818262722,1,1,1720,6305
9,8,3,4,4,0,0,2.725480557,0.818262722,1,1,1609,0
9,4,3,4,4,0,0,2.947702779,0.828431373,1,1,1142,9468
15,8,3,7,7,0,0,3.106890596,0.818262722,0,0,0,4748
13,5,2,5,7,0,0,3.026986833,0.716669028,1,1,1499,7821
16,8,2,5,9,0,0,3.077819531,0.859375353,2,1,2393,7305
15,4,3,5,9,0,0,3.373557262,0.735087015,1,1,39,6940
