length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
9,4,3,4,4,0,0,2.947702779,0.697153878,1,1,0,6018
14,2,4,4,8,0,1,3.521640636,1,1,1,896,8401
14,0,3,5,7,0,1,3.378783493,0,1,0,0,0
15,2,3,6,8,0,0,3.240223929,1,1,1,1352,5479
15,0,3,4,9,0,1,3.189898095,0,1,0,0,0
12,2,3,4,6,0,1,3.251629167,1,1,1,13,6561
8,0,2,3,3,0,1,2.5,0,1,0,0,0
15,0,4,6,8,0,0,3.506890596,0,1,0,0,0
11,2,3,4,5,0,1,3.277613437,1,1,1,18,0
17,0,4,7,9,0,0,3.410417253,0,0,0,0,365
14,0,4,4,8,0,1,3.664497779,0,1,0,0,0
19,0,4,8,10,0,0,3.471354487,0,1,0,0,0
14,0,2,5,8,0,0,3.182005815,0,1,0,0,0
19,0,3,8,10,0,0,3.260828171,0,1,0,0,0
14,0,3,6,7,0,0,3.182005815,0,1,0,0,0
19,0,4,4,14,0,0,3.826874882,0,1,0,0,0
18,0,4,7,10,0,0,3.392147224,0,1,0,0,0
18,3,3,7,10,0,0,3.572431251,0.901960784,1,1,268,3653
12,0,3,3,7,0,1,3.584962501,0,1,0,0,0
10,0,3,4,5,0,0,3.121928095,0,1,0,0,0
12,0,4,5,5,1,0,3.418295834,0,1,0,0,0
35,0,4,9,19,1,2,4.071581588,0,1,0,0,6209
13,0,3,5,7,0,0,3.238901257,0,1,0,0,0
11,2,2,4,6,0,0,2.845350937,1,1,5,0,365
20,0,3,6,13,0,0,3.68418372,0,1,0,0,0
11,0,3,4,6,0,0,3.095795255,0,1,0,0,0
8,0,3,3,4,0,0,3,0,1,0,0,0
14,0,4,5,7,0,0,3.521640636,0,0,0,0,6940
26,0,3,9,16,0,0,3.488525295,0,1,0,0,0
18,2,3,6,11,0,0,3.419381946,1,1,0,109,365
