length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
14,2,2,2,8,0,2,3.182005814760214,1.0,1,1,0,2560
26,0,4,8,12,4,0,3.767183467891461,0.0,0,0,0,4748
15,2,4,5,9,0,0,3.7735572622751845,1.0,1,0,134,365
17,2,3,7,9,0,0,3.4548223999466066,1.0,1,1,0,6575
38,0,5,6,14,10,6,4.346225868535942,0.0,0,0,27,4383
14,2,3,5,8,0,0,3.521640636343319,1.0,1,4,566,5844
16,2,3,6,9,0,0,3.452819531114783,1.0,1,1,192,4018
13,0,4,5,7,0,0,3.3927474104487847,0.0,0,0,0,0
20,0,4,7,12,0,0,3.7841837197791888,0.0,0,0,27,0
16,0,2,6,9,0,0,3.375,0.0,0,0,27,0
12,0,2,2,2,7,0,3.0220552088742,0.0,0,0,27,0
21,0,3,4,2,10,3,3.5585186130489057,0.0,1,0,1196,0
24,0,4,9,13,0,0,3.6572682296173897,0.0,1,0,64,4748
19,0,4,6,12,0,0,3.6421498816369033,0.0,0,0,27,0
22,0,3,8,11,0,0,3.4817145729860726,0.0,1,0,154,0
9,0,2,2,6,0,0,2.94770277922009,0.0,0,0,27,0
10,0,3,4,5,0,0,2.9219280948873623,0.0,0,0,27,0
22,0,3,6,14,0,0,3.6978458230844122,0.0,1,0,159,5844
11,2,3,3,7,0,0,3.2776134368191165,1.0,1,2,0,6940
13,0,2,2,8,2,0,3.7004397181410926,0.0,0,0,27,0
22,2,4,9,12,0,0,3.7321588913645694,1.0,1,0,7,2922
17,2,3,5,11,0,0,3.4992275471326932,1.0,1,1,717,7669
24,0,2,4,10,7,1,4.053508854797679,0.0,0,0,27,9497
31,0,5,8,16,5,0,4.091135423220311,0.0,0,0,0,3652
31,0,5,8,16,5,0,4.155651552252569,0.0,0,0,0,3652
31,0,5,9,15,5,0,4.0667842134731025,0.0,0,0,0,3652
31,0,5,7,16,6,0,4.091135423220311,0.0,0,0,0,3652
31,0,5,7,16,6,0,4.155651552252569,0.0,0,0,0,3652
31,0,5,7,18,4,0,4.155651552252569,0.0,0,0,0,3652
31,0,5,7,15,7,0,4.155651552252569,0.0,0,0,0,3652
31,0,5,8,16,5,0,4.091135423220311,0.0,0,0,0,3652
31,0,5,7,16,6,0,4.180002761999778,0.0,0,0,0,3652
31,0,5,8,15,6,0,4.0667842134731025,0.0,0,0,0,3652
31,0,5,8,16,5,0,4.091135423220311,0.0,0,0,0,3652
31,0,5,9,17,3,0,3.921938245870746,0.0,0,0,0,3652
31,0,5,7,18,4,0,4.026619294188054,0.0,0,0,0,3652
31,0,5,9,15,5,0,4.11548663296752,0.0,0,0,0,3652
20,0,4,6,13,0,0,3.684183719779189,0.0,0,0,27,0
31,0,5,8,18,3,0,4.091135423220312,0.0,0,0,0,3652
31,0,5,8,17,4,0,4.155651552252569,0.0,0,0,0,3652
31,0,5,8,17,4,0,4.091135423220312,0.0,0,0,0,3652
31,0,5,8,17,4,0,4.091135423220311,0.0,0,0,0,3652
31,0,5,8,18,3,0,4.0667842134731025,0.0,0,0,0,3652
31,0,5,9,15,5,0,3.9621031651557947,0.0,0,0,0,3652
8,2,2,2,5,0,0,3.0,1.0,1,1,535,6209
14,0,1,5,7,1,0,2.692380602454975,0.0,0,0,27,0
10,0,1,1,8,0,0,3.321928094887362,0.0,0,0,27,0
10,0,2,2,7,0,0,3.321928094887362,0.0,0,0,27,0
10,0,1,1,8,0,0,2.9219280948873623,0.0,0,0,27,0
10,2,2,3,6,0,0,3.121928094887362,0.0,0,0,0,2922
10,0,3,5,4,0,0,2.6464393446710153,0.0,0,0,27,0
24,2,5,9,13,0,0,3.8349625007211565,1.0,1,1,10,365
29,0,3,5,12,10,0,3.978333581185264,0.0,1,0,0,2922
18,0,3,6,10,0,0,3.5724312513221195,0.0,1,0,179,11687
24,0,3,6,17,0,0,3.6887218755408675,0.0,0,0,27,0
15,0,3,5,7,1,0,3.373557262275186,0.0,1,0,5,6574
11,2,3,3,7,0,0,3.095795255000934,1.0,1,1,66,9931
17,0,4,5,10,0,1,3.6168746059562227,0.0,0,0,27,0
13,0,3,5,7,0,0,3.238901256602631,0.0,0,0,27,0
17,0,3,5,10,0,0,3.381580488309164,0.0,0,0,27,0
14,0,2,5,8,0,0,3.182005814760214,0.0,0,0,27,0
15,2,4,7,6,0,0,3.189898095464287,1.0,1,1,0,7670
27,0,4,7,18,0,0,3.8100810205217313,0.0,1,0,179,11687
13,0,1,2,10,0,0,3.238901256602631,0.0,0,0,27,0
19,0,3,6,12,0,0,3.3660913291191927,0.0,0,0,27,0
14,0,2,4,9,0,0,3.2359263506290326,0.0,1,0,0,1096
19,0,1,3,7,7,0,3.681880802803402,0.0,0,0,27,3287
14,2,3,4,7,0,0,2.8423709931771093,1.0,1,1,305,0
16,0,3,5,9,0,0,3.1556390622295662,0.0,1,0,876,10144
20,0,4,6,11,0,0,3.746439344671015,0.0,1,0,0,10610
16,0,3,5,10,0,0,3.625,0.0,0,0,27,0
16,0,3,5,10,0,0,3.625,0.0,0,0,27,0
16,0,3,5,10,0,0,3.5,0.0,0,0,27,0
16,0,3,5,10,0,0,3.625,0.0,0,0,27,0
12,2,3,4,7,0,0,3.2516291673878226,1.0,1,5,1288,5114
14,2,3,5,8,0,0,3.128085278891395,1.0,1,1,22,6209
11,0,4,5,5,0,0,3.0957952550009344,0.0,0,0,27,0
24,0,4,5,18,0,0,3.8349625007211565,0.0,0,0,27,0
14,2,4,5,7,0,0,3.378783493486176,1.0,1,1,18,0
13,4,3,5,7,0,0,3.0269868333592873,0.9666666666666667,0,5,0,731
13,0,4,5,7,0,0,3.3927474104487847,0.0,0,0,27,0
13,0,3,5,7,0,0,3.238901256602631,0.0,0,0,27,0
10,0,3,4,5,0,0,2.9219280948873623,0.0,0,0,0,6574
12,0,4,4,7,0,0,3.418295834054489,0.0,0,0,27,0
9,0,3,4,4,0,0,2.725480556997868,0.0,0,0,27,0
15,0,5,6,7,0,0,3.373557262275186,0.0,0,0,27,0
18,0,4,7,9,0,0,3.5724312513221195,0.0,0,0,27,4383
19,0,3,5,12,0,0,3.826874881864637,0.0,1,0,141,4018
16,0,4,6,8,1,0,3.625,0.0,0,0,27,0
25,0,3,6,15,2,0,3.703465189601646,0.0,1,0,10,7304
15,0,2,3,10,0,0,3.640223928941851,0.0,1,0,0,0
9,0,2,3,5,0,0,2.94770277922009,0.0,0,0,27,0
15,0,3,6,8,0,0,3.323231428797621,0.0,0,0,0,4017
14,0,2,3,8,1,0,3.2359263506290334,0.0,1,0,233,7670
14,0,3,4,9,0,0,3.3248629576173574,0.0,0,0,27,0
16,0,4,7,8,0,0,3.452819531114783,0.0,0,0,27,0
10,0,2,3,5,1,0,3.121928094887362,0.0,0,0,27,0
10,0,2,3,5,1,0,2.9219280948873623,0.0,0,0,27,0
13,0,2,3,9,0,0,3.3927474104487847,0.0,0,0,27,0
22,2,4,7,13,0,0,3.538310595615006,1.0,1,3,0,0
18,0,3,7,9,0,0,3.086048612313038,0.0,1,0,10,3652
20,0,3,6,12,0,0,3.5841837197791886,0.0,1,1,112,5844
12,0,3,5,5,0,0,2.8553885422075336,0.0,1,0,0,9504
14,0,4,5,8,0,0,3.521640636343319,0.0,0,0,27,0
14,0,4,6,7,0,0,3.521640636343319,0.0,0,0,27,0
14,0,4,5,8,0,0,3.6644977792004623,0.0,0,0,27,0
14,0,4,5,8,0,0,3.52164063634332,0.0,0,0,27,0
14,0,4,5,8,0,0,3.521640636343319,0.0,0,0,27,0
10,0,2,3,4,1,0,2.721928094887362,0.0,0,0,27,5843
10,2,4,5,4,0,0,3.121928094887362,1.0,1,1,18,0
11,0,2,4,6,0,0,2.913977073182752,0.0,0,0,27,0
14,2,4,6,7,0,0,3.3248629576173574,1.0,1,0,526,1826
7,1,1,1,5,0,0,2.5216406363433186,1.0,1,5,1246,0
14,0,4,5,8,0,0,3.378783493486176,0.0,0,0,27,0
15,0,4,5,9,0,0,3.506890595608518,0.0,0,0,27,0
10,0,3,3,6,0,0,3.1219280948873624,0.0,0,0,27,0
15,0,3,5,9,0,0,3.5068905956085183,0.0,0,0,27,0
36,0,4,10,21,0,2,3.932999306637289,0.0,1,0,518,4748
24,0,3,8,15,0,0,3.454986855772667,0.0,0,0,27,0
24,0,4,8,14,0,0,3.8035088547976783,0.0,1,0,132,7305
27,0,5,10,15,1,0,3.91211389097223,0.0,0,0,27,0
27,0,5,10,15,1,0,3.9121138909722295,0.0,0,0,27,0
18,0,2,4,12,0,1,3.5724312513221195,0.0,0,0,27,0
13,0,3,4,8,0,0,3.3927474104487847,0.0,0,0,27,0
18,0,3,7,9,0,1,3.3027227528624894,0.0,0,0,27,0
31,2,5,9,21,0,0,3.953565664946427,1.0,1,0,440,2557
25,2,4,7,15,0,2,3.6234651896016468,1.0,1,2,1281,4383
26,0,4,8,17,0,0,3.6423714487439023,0.0,0,0,27,0
11,4,2,3,6,0,1,2.913977073182752,0.9411764705882354,1,2,0,6940
13,2,4,5,7,0,0,3.238901256602631,1.0,1,1,40,4018
11,4,1,1,7,1,0,3.0957952550009344,0.9473684210526315,1,2,15,2192
22,0,4,7,14,0,0,3.7544418457133455,0.0,0,0,27,0
7,0,1,1,4,0,1,2.521640636343318,0.0,0,0,27,0
14,2,5,6,7,0,0,3.378783493486176,1.0,1,2,0,9131
14,0,3,5,8,0,0,3.378783493486176,0.0,0,0,27,0
20,0,3,8,11,0,0,3.341446071165522,0.0,0,0,27,0
22,0,4,6,13,1,0,3.6069367321753205,0.0,0,0,27,5114
30,0,3,4,19,5,0,3.103366717747379,0.0,1,0,71,4748
13,0,3,4,8,0,0,3.5465935642949384,0.0,0,0,27,0
13,2,2,4,8,0,0,3.3927474104487847,1.0,1,0,0,731
14,2,2,2,9,0,1,3.1820058147602133,1.0,1,1,8,6940
17,0,3,6,9,1,0,3.499227547132693,0.0,0,0,27,0
16,3,3,5,10,0,0,3.5,0.8499525166191834,1,1,105,9129
28,0,2,4,10,10,0,3.994680368408909,0.0,0,0,27,4018
14,0,3,7,6,0,0,2.950212064914748,0.0,0,0,27,0
14,0,3,6,7,0,0,3.09306920777189,0.0,0,0,27,0
14,0,3,6,7,0,0,3.09306920777189,0.0,0,0,27,0
12,0,5,6,5,0,0,3.2516291673878226,0.0,0,0,27,0
24,0,4,6,12,3,1,4.16829583405449,0.0,0,0,27,5114
8,0,2,3,4,0,0,2.5,0.0,0,0,27,730
20,0,1,1,9,7,0,3.5464393446710147,0.0,1,0,0,0
20,0,1,1,9,7,0,3.6841837197791887,0.0,0,0,27,0
19,0,4,5,6,6,0,3.681880802803402,0.0,0,0,27,5479
13,2,3,5,7,0,0,3.238901256602631,1.0,1,1,44,6575
16,0,3,6,8,0,0,3.25,0.0,0,0,27,0
13,0,3,5,7,0,0,3.334679141051595,0.0,0,0,27,0
20,2,3,7,12,0,0,3.384183719779189,1.0,1,5,1095,4383
17,0,2,3,13,0,0,3.734521664779752,0.0,0,0,27,0
18,2,3,6,10,0,0,3.3921472236645345,1.0,1,1,390,4383
15,3,3,5,9,0,0,3.139572261986723,0.862914862914863,1,1,124,7305
15,4,3,5,9,0,0,3.139572261986723,0.823529411764706,1,1,0,365
15,2,4,5,9,0,0,3.4565647621309536,1.0,1,2,22,9862
12,0,3,4,6,0,0,3.084962500721156,0.0,0,0,650,0
22,0,5,9,11,0,0,3.641249800455479,0.0,0,0,27,11687
14,2,3,4,9,0,0,3.2359263506290334,1.0,1,5,182,4877
21,2,4,9,11,0,0,3.4273334938982645,1.0,1,3,1441,9131
13,0,3,4,7,0,0,2.7773627950641693,0.0,0,0,27,0
9,3,2,2,5,0,0,2.725480556997868,0.851851851851852,1,1,0,0
13,2,3,5,7,0,0,3.0269868333592873,1.0,2,2,537,0
6,4,1,1,4,0,0,2.2516291673878226,0.9685283687943262,1,1,536,0
17,0,4,8,8,0,0,3.4548223999466066,0.0,0,0,27,0
12,2,3,4,7,0,0,3.2516291673878226,1.0,1,5,1288,5114
14,3,4,5,7,0,1,3.521640636343319,0.8305555555555556,1,1,133,7669
7,0,2,2,4,0,0,2.807354922057604,0.0,0,0,27,0
16,2,5,6,8,0,0,3.5,1.0,1,2,686,0
13,4,2,4,8,0,0,3.0269868333592873,0.9500000000000001,1,2,0,5844
15,2,4,6,8,0,0,3.189898095464287,1.0,1,5,1529,2922
15,2,3,5,8,0,0,3.323231428797621,1.0,1,1,0,0
16,2,4,5,10,0,0,3.625,1.0,1,2,569,9862
14,0,3,5,8,0,0,3.2359263506290334,0.0,0,0,27,0
19,4,1,3,9,5,0,3.536886723742167,0.8571428571428571,1,2,142,3287
20,0,4,6,12,0,0,3.5841837197791886,0.0,1,1,112,5844
10,0,1,1,8,0,0,2.9219280948873623,0.0,0,0,27,0
