length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
23,0,4,8,14,0,0,3.468576629687865,0.0,0,0,0,0
24,0,4,7,15,0,0,3.720175521464345,0.0,0,0,0,0
19,2,3,6,11,0,0,3.3660913291191923,1.0,1,1,84,5479
9,2,2,2,6,0,0,3.169925001442312,1.0,1,1,168,4748
13,2,4,4,8,0,0,3.334679141051595,1.0,1,0,84,1461
10,2,2,3,6,0,0,2.9219280948873623,1.0,1,0,56,0
15,4,3,5,9,0,0,3.240223928941852,0.7510582010582011,1,2,486,1095
17,2,4,6,10,0,0,3.4548223999466057,1.0,2,0,572,365
28,0,4,11,15,0,0,3.797902689682947,0.0,0,0,0,0
15,0,3,5,9,0,0,3.240223928941852,0.0,0,0,0,0
17,0,4,6,9,0,0,3.4992275471326924,0.0,0,0,0,0
21,0,4,7,12,0,0,3.3320953986601696,0.0,0,0,0,0
23,0,3,11,11,0,0,3.0507661742775687,0.0,0,0,0,0
10,2,3,4,4,0,0,2.9219280948873623,1.0,1,0,0,0
29,0,5,10,17,0,0,4.004364184708142,0.0,0,0,0,0
21,0,3,9,10,0,0,3.3446983751597124,0.0,0,0,0,0
17,0,5,7,9,0,0,3.1751231351134606,0.0,0,0,0,0
19,2,5,7,11,0,0,3.8924071185928764,1.0,1,0,526,4018
28,0,5,12,15,0,0,3.655045546825804,0.0,0,0,0,0
10,0,3,4,4,0,1,3.1219280948873624,0.0,0,0,0,0
9,3,4,4,3,0,1,3.169925001442312,0.8168582375478927,1,1,34,6209
12,0,3,5,6,0,0,2.918295834054489,0.0,0,0,0,0
24,0,5,10,12,0,0,3.403107168362811,0.0,0,0,349,9496
17,2,4,7,9,0,0,3.616874605956222,1.0,1,2,1172,5843
16,0,4,6,9,0,0,3.452819531114783,0.0,0,0,0,0
13,0,2,5,7,0,0,2.931208948910323,0.0,0,0,0,0
18,4,5,8,9,0,0,3.5724312513221195,0.7510582010582011,1,2,490,5479
13,0,3,6,5,0,0,2.6612262562697895,0.0,0,0,0,0
19,2,3,5,12,0,0,3.431623565847431,1.0,1,2,0,8309
13,0,1,1,6,5,0,3.3927474104487847,0.0,0,0,0,0
23,0,3,5,14,3,0,3.8492239123906247,0.0,0,0,0,0
32,0,5,12,19,0,0,3.827819531114783,0.0,0,0,0,0
28,0,4,11,16,0,0,3.7264741182543757,0.0,0,0,0,0
13,0,3,4,7,0,1,3.546593564294939,0.0,0,0,0,0
13,0,4,5,7,0,0,3.180832987205441,0.0,0,0,0,0
18,0,3,6,10,1,0,3.3082708345352603,0.0,0,0,0,0
12,0,3,5,5,1,0,3.2516291673878226,0.0,0,0,0,0
13,0,3,4,7,0,0,3.3927474104487847,0.0,0,0,0,0
20,0,4,7,12,0,0,3.5464393446710156,0.0,0,0,0,0
22,0,5,7,13,0,0,3.6978458230844122,0.0,0,0,0,0
33,0,5,14,18,0,0,3.809397528383803,0.0,0,0,0,0
16,2,3,5,10,0,0,3.577819531114783,1.0,1,1,5,2192
7,0,3,3,3,0,0,2.8073549220576037,0.0,0,0,0,0
19,0,4,7,11,0,0,3.471354487013929,0.0,0,0,0,0
11,0,3,4,6,0,0,3.2776134368191157,0.0,0,0,0,0
11,4,3,4,6,0,0,3.2776134368191157,0.9666666666666667,0,0,0,2557
16,0,2,5,9,0,1,3.25,0.0,0,0,0,0
27,0,4,10,15,0,0,3.6339740759971573,0.0,0,0,0,0
11,0,2,3,7,0,0,2.913977073182752,0.0,0,0,0,0
20,0,3,6,13,0,0,3.2037016960573483,0.0,0,0,0,0
12,2,2,3,8,0,0,3.084962500721156,1.0,1,0,3,365
25,0,5,11,11,1,0,3.813660689688186,0.0,0,0,0,0
11,0,4,4,6,0,0,3.2776134368191157,0.0,0,0,0,0
11,0,2,2,5,3,0,3.2776134368191157,0.0,0,0,0,0
12,0,3,4,7,0,0,3.2516291673878226,0.0,0,0,0,0
21,0,4,8,11,0,0,3.558518613048906,0.0,2,0,5,1461
18,0,4,6,10,0,0,3.614369445886757,0.0,0,0,0,0
14,0,3,5,8,0,0,3.521640636343318,0.0,0,0,0,0
10,0,2,2,7,0,0,3.3219280948873626,0.0,0,0,0,0
12,0,3,4,7,0,0,3.4182958340544896,0.0,0,0,0,0
13,0,2,4,6,1,0,3.0269868333592873,0.0,0,0,20,8765
17,0,4,6,10,0,0,3.4992275471326924,0.0,0,0,0,0
14,2,3,5,8,0,0,3.3248629576173565,1.0,1,1,3,11322
18,0,4,8,9,0,0,3.5724312513221195,0.0,0,0,0,0
17,0,3,6,10,0,0,3.4548223999466057,0.0,0,0,0,0
9,2,2,4,4,0,0,2.725480556997868,1.0,1,5,0,0
15,0,3,4,10,0,0,3.506890595608519,0.0,0,0,0,0
24,0,4,7,15,0,0,3.8553885422075336,0.0,0,0,0,0
16,0,4,6,8,0,0,3.625,0.0,0,0,0,0
29,0,5,10,16,0,0,3.7159321855150287,0.0,1,0,0,0
13,0,1,1,11,0,0,3.546593564294939,0.0,0,0,0,0
12,2,2,3,8,0,0,3.2516291673878226,1.0,1,2,7,731
19,2,3,5,12,0,0,3.6163485660751644,1.0,1,0,56,0
10,4,2,3,5,0,0,2.721928094887362,0.9411764705882352,1,1,118,0
26,2,3,6,18,0,0,3.979097891134805,1.0,1,0,314,6575
8,0,1,1,6,0,0,2.75,0.0,0,0,0,0
18,0,5,8,9,0,0,3.614369445886757,0.0,0,0,0,0
18,0,4,8,9,0,0,3.5724312513221195,0.0,0,0,0,0
11,0,4,4,6,0,0,3.4594316186372973,0.0,0,0,0,0
16,0,2,2,11,1,0,3.5,0.0,0,0,1115,0
