length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
9,2,2,2,4,2,0,2.725480556997868,1.0,1,0,1418,365
23,2,5,9,13,0,0,3.7081320646586016,1.0,1,1,593,7670
15,4,3,5,8,0,0,3.240223928941852,0.704744785230124,1,0,722,0
15,2,4,6,8,0,0,3.3735572622751855,1.0,1,1,1592,2989
17,0,4,5,9,0,0,3.572469458770135,0.0,0,0,0,0
17,2,3,5,10,0,0,3.2195282822995472,1.0,1,1,369,3287
16,2,4,6,9,0,0,3.375,1.0,1,1,40,1826
7,4,2,2,4,0,0,2.8073549220576037,0.9090909090909091,1,0,0,4760
14,2,3,5,8,0,0,3.0391486719030705,1.0,1,0,0,365
15,4,3,6,7,0,1,3.323231428797621,0.9090909090909091,1,1,804,4749
10,0,2,3,6,0,0,2.9219280948873623,0.0,1,0,0,365
11,2,3,4,6,0,0,3.095795255000934,0.0,0,3,0,365
20,2,4,7,11,0,0,3.484183719779189,1.0,1,4,775,8766
23,4,4,7,12,0,2,3.468576629687865,0.8313030638612035,1,7,950,5478
15,2,5,5,8,0,1,3.640223928941852,1.0,1,2,383,731
23,2,4,7,14,0,0,3.4144413036949723,1.0,1,1,323,4383
13,2,2,3,9,0,0,3.0850551027564768,1.0,1,1,1005,4748
13,2,2,4,7,0,0,2.931208948910323,1.0,1,2,563,5113
11,2,4,4,6,0,0,3.2776134368191157,1.0,1,1,0,9496
19,0,5,6,12,0,0,3.721611723969901,0.0,0,0,0,365
13,2,3,4,8,0,0,3.3927474104487847,1.0,1,1,1565,0
13,2,3,3,9,0,0,3.546593564294939,1.0,1,1,806,5844
15,5,2,3,10,0,0,3.3735572622751855,0.95,1,2,1092,0
10,2,3,3,6,0,0,2.9219280948873623,1.0,1,5,554,731
14,2,4,5,7,0,1,3.6644977792004614,1.0,1,0,7,1826
16,2,3,5,10,0,0,3.1556390622295662,1.0,1,0,11,5114
18,2,4,7,10,0,0,3.3082708345352603,1.0,1,5,765,365
17,2,4,6,10,0,0,3.4548223999466057,1.0,1,1,299,2922
8,2,0,0,4,3,0,2.4056390622295662,1.0,4,0,53,365
14,2,2,3,10,0,0,3.521640636343318,1.0,1,1,164,2557
11,2,2,2,7,0,0,2.913977073182752,1.0,1,1,630,0
14,2,3,4,8,0,0,3.0930692077718898,1.0,1,5,1355,0
12,3,2,4,7,0,0,3.188721875540867,0.8716397849462366,1,1,1117,0
9,2,2,2,5,0,0,2.5032583347756456,1.0,1,5,1978,0
12,2,2,3,6,2,0,3.2516291673878226,1.0,1,0,0,730
10,3,2,2,7,0,0,3.1219280948873624,0.9333333333333332,1,2,0,2557
8,2,1,1,6,0,0,3.0,1.0,1,3,1013,731
22,4,3,7,14,0,0,3.186704345910025,0.9666666666666667,1,0,1387,1096
19,2,4,5,11,2,0,3.9321380397593746,1.0,1,5,0,365
14,0,2,4,9,0,0,3.3248629576173565,0.0,0,0,0,365
16,2,3,5,10,0,0,3.577819531114783,1.0,1,0,0,0
12,4,1,1,6,4,0,2.8553885422075336,0.6904366015589473,2,0,24,365
9,2,2,2,6,0,0,2.94770277922009,1.0,1,1,2498,1826
16,2,3,5,10,0,0,3.5,1.0,1,1,424,7670
10,2,2,2,7,0,0,3.1219280948873624,1.0,2,1,638,0
11,2,1,1,6,3,0,3.095795255000934,1.0,1,0,1648,365
13,2,4,5,7,0,0,3.238901256602631,1.0,1,1,620,7305
13,3,2,2,10,0,0,3.3927474104487847,0.9476923076923077,1,1,1316,7670
15,4,3,5,9,0,0,3.1898980954642875,0.7547648430001371,1,1,240,1096
28,2,5,9,18,0,0,3.9677201004744993,1.0,1,3,180,1096
16,2,4,4,11,0,0,3.75,1.0,1,1,547,9130
12,2,1,3,8,0,0,2.8553885422075336,1.0,1,1,0,3653
14,4,1,2,9,0,1,3.2359263506290326,0.9411764705882352,0,0,0,4383
14,2,3,3,6,2,2,3.6644977792004614,1.0,1,1,805,4748
18,2,3,5,10,2,0,3.530493056757482,1.0,1,0,601,365
10,2,2,3,3,3,0,2.9219280948873623,1.0,2,0,55,365
14,2,3,3,8,1,0,3.521640636343318,1.0,1,5,0,7670
15,2,3,3,10,1,0,3.906890595608519,1.0,1,0,719,365
13,2,2,6,6,0,0,2.6535442970305683,1.0,1,5,0,731
7,2,2,2,4,0,0,2.8073549220576037,1.0,1,2,0,2190
14,2,3,5,8,0,0,3.2359263506290326,1.0,1,3,6456,731
12,2,3,4,7,0,0,3.2516291673878226,1.0,1,1,467,6575
12,4,3,4,7,0,0,3.4182958340544896,0.923076923076923,1,1,5182,0
17,3,3,7,9,0,0,3.2639334294856335,0.9499999999999998,0,1,0,0
11,3,2,3,7,0,0,2.913977073182752,0.9285714285714285,1,1,946,2192
11,2,2,5,5,0,0,2.6635327548042547,1.0,1,2,1752,730
13,2,2,3,9,0,0,3.238901256602631,1.0,1,0,396,4018
14,2,3,5,8,0,0,3.3248629576173565,1.0,1,1,2245,3287
9,2,1,2,6,0,0,2.2810361125534238,1.0,2,0,0,365
11,4,3,5,5,0,0,2.8453509366224368,0.9666666666666667,1,1,1509,1096
12,4,4,4,7,0,0,3.4182958340544896,0.9615384615384616,1,1,477,365
14,6,3,3,8,0,0,3.1280852788913944,0.9531158763716903,1,1,0,0
12,2,3,3,7,0,0,3.4182958340544896,1.0,1,4,412,5479
