length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time,label
12,0,2,2,6,3,0,3.4182958340544896,0.0,0,0,0,0,1
16,0,5,7,8,0,0,3.625,0.0,0,0,0,0,1
9,2,3,3,5,0,0,3.169925001442312,1.0,1,1,2980,9496,0
16,8,2,5,9,0,0,3.077819531,0.859375353,2,1,2393,7305,0
28,2,5,14,13,0,0,3.6820058147602137,1.0,1,1,877,4748,0
22,3,4,8,13,0,0,3.6069367321753214,0.9411764705882352,0,1,21,730,0
14,4,3,5,5,3,0,3.378783493486176,0.6592667490544134,1,0,54,365,0
9,2,3,3,5,0,0,3.169925001442312,1.0,1,5,969,12418,0
18,2,4,8,9,0,0,3.5724312513221195,1.0,1,2,919,365,0
16,2,3,6,9,0,0,3.25,1.0,1,1,3084,731,0
9,4,2,2,6,0,0,2.94770277922009,0.6815125106328344,1,5,1803,12052,0
17,0,3,6,10,0,0,3.4548223999466057,0.0,0,0,0,0,1
6,2,1,1,4,0,0,2.2516291673878226,1.0,1,3,1184,9871,0
24,0,3,8,14,0,0,3.834962500721156,0.0,0,0,504,0,1
15,6,3,6,8,0,0,3.456564762130954,0.8512724014336917,0,0,0,2922,0
5,8,1,1,3,0,0,2.321928094887362,0.9206349206349204,0,5,176,15176,0
8,2,3,3,4,0,0,3.0,1.0,1,2,0,10237,0
12,2,3,4,7,0,0,3.2516291673878226,1.0,1,1,6,8766,1
16,3,5,6,9,0,0,3.625,0.8,1,1,20,3653,1
19,0,2,5,12,0,0,3.4058222502856905,0.0,0,0,0,6209,1
10,2,2,4,5,0,0,2.846439345,1.0,1,0,817,3287,0
12,0,3,4,7,0,0,3.084962501,0.0,1,0,0,0,1
16,0,4,6,8,0,0,3.375,0.0,0,0,0,0,1
10,6,2,4,5,0,0,2.846439345,0.639454191,1,1,188,9131,0
12,2,1,3,7,0,1,3.0220552088742,0.0,0,0,0,4383,0
13,0,3,4,8,0,0,3.3927474104487847,0.0,0,0,0,4018,1
26,0,4,7,17,0,0,3.796217602590057,0.0,0,0,864,6209,1
13,2,4,5,7,0,0,3.238901257,1.0,1,0,0,4748,0
11,4,3,4,6,0,0,2.9139770731827523,0.6819281456288535,1,1,0,8128,0
26,0,4,10,14,0,0,3.87314068,0.0,1,0,170,2922,1
12,2,2,3,8,0,0,3.2516291673878226,1.0,1,1,2878,0,0
16,2,4,8,6,0,0,3.327819531114783,1.0,1,1,18,0,1
21,0,3,4,2,10,3,3.558518613048906,0.0,1,0,341,0,1
13,2,4,4,8,0,0,3.39274741,1.0,1,2,0,10118,0
18,0,4,5,8,3,0,3.8365916681089782,0.0,0,0,0,5844,1
13,4,3,4,8,0,0,3.238901257,0.666146126,0,2,0,5113,0
10,4,2,4,5,0,0,2.646439345,0.933333333,1,1,309,11322,0
11,0,3,4,6,0,0,3.277613436819116,0.0,0,0,0,0,0
18,0,4,6,9,0,1,3.350209029,0.0,1,0,0,0,1
13,2,2,3,9,0,0,3.238901256602631,1.0,1,0,501,6951,0
13,2,4,6,6,0,0,3.334679141,1.0,1,2,830,6940,0
16,2,2,5,10,0,0,3.327819531114783,1.0,1,1,174,8926,0
13,0,1,3,9,0,0,3.180832987205441,0.0,0,0,0,0,1
12,0,1,1,2,8,0,2.584962500721156,0.0,0,0,0,0,1
15,2,3,4,9,0,0,3.373557262275185,1.0,1,0,314,0,1
12,0,4,4,7,0,0,3.418295834054489,0.0,0,0,27,0,1
22,0,4,10,11,0,0,3.51602764126623,0.0,0,0,0,0,1
7,6,3,3,3,0,0,2.807354922057604,0.9256956115779646,1,1,469,9861,0
12,6,4,4,6,0,1,3.4182958340544896,0.8389635056301723,1,2,2243,5114,0
9,0,1,1,3,4,0,2.94770277922009,0.0,0,0,27,0,1
14,0,4,4,9,0,0,3.324862958,0.0,1,0,0,0,1
12,0,3,4,6,1,0,3.0220552088742005,0.0,0,0,0,0,1
12,0,5,5,5,0,0,3.418295834,0.0,1,0,0,0,1
35,4,5,12,22,0,0,4.150292659616669,0.9285714285714284,1,1,709,1096,0
9,0,1,1,5,2,0,3.169925001442312,0.0,0,0,0,365,0
22,0,4,8,13,0,0,3.663532754804255,0.0,0,0,0,0,1
13,0,2,5,6,0,1,2.7773627950641693,0.0,0,0,27,0,1
10,0,1,2,7,0,0,3.121928095,0.0,1,0,0,0,1
14,0,5,6,7,0,0,3.521640636343318,0.0,0,0,0,0,1
12,2,3,3,5,3,0,3.2516291673878226,1.0,1,0,4668,0,0
20,6,4,7,11,0,0,3.6219280948873616,0.9523809523809524,1,2,1676,5844,1
12,4,3,5,5,0,0,2.8553885422075336,0.9333333333333336,1,1,307,8401,0
19,0,5,10,8,0,0,3.431623565847431,0.0,0,0,0,0,1
14,0,3,5,7,0,0,3.378783493486176,0.0,0,0,0,0,1
15,2,2,4,7,3,0,3.373557262275185,1.0,1,0,2870,365,0
16,2,3,4,9,1,0,3.75,1.0,1,0,34,0,0
8,6,3,3,4,0,0,3.0,0.8463709677419353,1,0,0,10958,0
10,2,3,3,6,0,0,3.121928095,1.0,0,0,49,12420,0
23,0,4,8,13,0,0,3.5511911744656963,0.0,0,0,349,9496,1
10,0,4,4,4,1,0,3.321928094887362,0.0,0,0,0,0,1
25,2,3,7,15,0,0,3.7034651896016473,1.0,1,5,0,0,0
25,0,4,7,15,0,0,3.563074189,0.0,1,0,0,4383,1
11,4,3,4,6,0,0,3.277613436819116,0.9666666666666668,0,0,0,2557,1
10,2,3,4,4,0,0,2.9219280948873623,1.0,1,3,2402,0,1
12,4,4,7,4,0,0,2.855388542,0.65117028,1,3,1498,10309,0
14,3,3,3,10,0,0,3.664497779200461,0.8414240730030204,1,0,890,365,0
14,2,3,5,8,0,0,3.3248629576173574,0.0,0,0,0,4748,0
12,4,3,4,7,0,0,3.2516291673878226,0.71950836303718,1,7,1093,8766,0
13,0,3,4,7,0,1,3.546593564294939,0.0,0,0,0,0,1
17,0,4,5,9,1,0,3.7345216647797512,0.0,0,0,0,0,1
21,0,2,4,13,1,0,3.463280518,0.0,1,0,51,3287,1
7,3,2,2,4,0,0,2.521640636343318,0.8748221906116643,1,1,908,0,0
14,2,3,5,8,0,0,3.0391486719030705,1.0,1,0,35,365,0
7,2,3,3,3,0,0,2.807354922057604,1.0,1,2,6615,0,0
10,2,3,4,5,0,0,2.921928095,1.0,1,1,1581,7670,0
14,0,4,5,8,0,0,3.521640636343319,0.0,0,0,27,0,1
9,0,1,2,6,0,0,2.947702779,0.0,1,0,0,0,1
15,0,2,4,9,0,0,3.323231429,0.0,1,0,0,0,1
9,2,1,1,7,0,0,3.169925001442312,1.0,1,1,69,3287,0
8,0,1,1,6,0,0,3.0,0.0,0,0,27,1461,1
11,4,3,3,6,0,0,3.277613436819116,0.9411764705882352,1,1,352,8766,1
12,0,3,5,6,0,0,3.0220552088742,0.0,0,0,27,0,1
16,0,3,3,9,3,0,3.625,0.0,0,0,0,0,1
11,0,2,3,6,1,0,3.095795255000934,0.0,0,0,0,0,1
12,0,3,3,7,0,1,3.584962501,0.0,1,0,0,0,1
25,0,4,7,16,0,0,3.5434651896016467,0.0,1,0,0,2192,1
25,0,4,8,14,0,1,3.7834651896016473,0.0,0,0,0,0,1
22,0,2,7,12,1,0,3.390805482076982,0.0,1,0,0,8036,1
13,2,2,4,8,0,0,3.0850551027564768,1.0,1,1,723,0,0
10,4,2,2,4,3,0,3.1219280948873624,0.9545454545454546,1,0,55,365,0
18,0,5,8,8,0,0,3.350209029,0.0,1,0,0,0,1
13,2,4,4,8,0,0,3.180832987205441,1.0,1,2,566,0,1
9,2,2,2,6,0,0,2.94770277922009,1.0,1,5,1089,10226,0
8,2,2,3,4,0,0,2.1556390622295662,1.0,1,0,387,365,0
18,2,2,3,9,4,0,3.725480556997868,1.0,1,0,36,0,1
24,0,5,10,12,0,0,3.403107168362811,0.0,0,0,349,9496,1
9,2,3,4,4,0,0,2.94770277922009,1.0,1,0,0,0,0
13,2,2,2,6,4,0,3.180832987205441,1.0,1,0,18,730,0
17,0,3,6,9,0,0,3.2195282822995472,0.0,1,0,176,10144,1
13,8,3,4,8,0,0,3.546593564,0.646616541,0,0,0,4017,0
14,0,4,4,9,0,0,3.664497779,0.0,1,0,0,0,1
8,2,2,2,5,0,0,2.75,1.0,1,2,0,731,1
18,6,5,6,11,0,0,3.614369445886756,0.8257885304659497,1,1,2966,11321,0
11,0,3,4,6,0,0,3.277613436819116,0.0,0,0,0,0,1
14,2,3,3,9,0,0,3.1820058147602133,1.0,1,2,0,365,0
12,8,3,4,7,0,0,2.9182958340544896,0.8010300560713716,1,1,0,12052,0
7,2,3,3,2,1,0,2.807354922,0.0,0,0,0,3287,0
6,2,1,1,4,0,0,2.2516291673878226,0.0,0,1,0,12361,0
12,2,4,4,7,0,0,3.4182958340544896,1.0,1,0,164,1095,0
14,0,2,4,7,2,0,3.235926351,0.0,1,0,0,0,1
10,4,2,3,6,0,0,3.1219280948873624,0.6594277796502265,1,5,547,7304,0
12,0,3,4,6,1,0,3.2516291673878226,0.0,0,0,0,0,1
12,4,3,4,7,0,0,3.418295834,0.704239224,0,0,0,2557,0
12,0,3,3,7,0,1,3.084962500721156,0.0,0,0,0,365,1
26,0,4,9,15,0,0,3.767183467891461,0.0,0,0,0,8034,1
18,0,5,6,11,0,0,3.572431251,0.0,1,0,0,0,1
10,4,3,3,6,0,0,3.121928094887362,0.6664906564805453,1,5,2236,7670,0
14,2,4,5,8,0,0,3.521640636343318,1.0,1,1,0,4383,0
10,8,4,4,4,0,0,3.121928095,0.579291366,1,2,2390,9862,0
14,0,3,5,8,0,0,3.521640636,0.0,1,0,0,0,1
12,0,2,3,8,0,0,2.918295834054489,0.0,0,0,27,0,1
12,4,3,5,6,0,0,2.855388542,0.677216048,1,2,38,6209,0
16,4,4,7,8,0,0,3.5,0.8313030638612032,1,0,0,10592,0
14,0,4,6,7,0,0,3.235926350629033,0.0,0,0,0,0,1
18,0,3,4,8,4,0,3.8365916681089782,0.0,0,0,27,0,1
9,0,1,2,6,0,0,2.725480557,0.0,1,0,0,0,1
9,4,2,3,5,0,0,2.725480557,0.696907527,1,4,420,9496,0
18,0,4,7,10,0,0,3.614369446,0.0,1,0,0,0,1
12,4,2,4,7,0,0,3.084962500721156,0.7051139251341475,0,0,0,1826,0
15,2,2,4,10,0,0,3.240223928941852,1.0,1,0,0,0,0
18,0,3,5,9,2,0,3.725480556997868,0.0,0,0,0,0,1
11,2,2,4,6,0,0,2.845350937,1.0,1,5,0,365,1
13,8,3,5,7,0,0,3.180832987,0.818262722,1,1,562,8401,0
11,8,3,3,7,0,0,3.2776134368191165,0.7702901099260615,1,2,0,11689,0
13,3,3,3,9,0,0,3.39274741,0.833333333,1,5,1434,10226,0
18,0,4,7,9,0,0,3.3921472236645345,0.0,0,0,0,5844,1
15,0,2,2,11,0,0,3.640223928941852,0.0,0,0,27,0,1
19,0,5,7,11,0,0,3.787143961,0.0,1,0,0,0,1
10,2,2,2,7,0,0,2.921928095,1.0,1,2,0,10226,0
19,0,2,5,10,2,0,3.300559092390954,0.0,1,0,194,3652,1
15,2,3,5,9,0,0,3.506890595608519,1.0,2,2,2002,1826,0
9,2,2,2,6,0,0,2.641604168,1.0,1,2,858,9862,0
17,0,3,4,10,0,2,3.7345216647797512,0.0,0,0,0,0,1
15,2,4,5,9,0,0,3.506890595608519,1.0,1,1,0,1826,0
22,0,3,8,13,0,0,3.447401504705915,0.0,0,0,0,0,1
22,2,3,8,13,0,0,3.5160276412662306,1.0,1,1,0,5843,1
13,0,3,4,8,0,0,3.238901256602631,0.0,0,0,27,0,1
17,4,4,6,10,0,0,3.734521665,0.665800525,1,4,0,8766,0
14,5,4,5,8,0,0,3.521640636,0.947368421,1,4,0,8766,0
13,2,3,4,8,0,0,3.3927474104487847,1.0,1,1,0,1096,0
17,2,4,7,9,0,0,3.4548223999466057,1.0,1,1,2008,8766,0
7,3,3,3,3,0,0,2.807354922,0.892222222,1,1,961,6940,0
13,0,3,3,9,0,0,3.546593564,0.0,1,0,0,0,1
17,2,2,4,11,0,0,3.2195282822995472,1.0,1,3,1094,0,0
10,0,1,1,8,0,0,2.9219280948873623,0.0,0,0,27,0,1
19,0,3,6,11,0,0,3.260828171,0.0,0,0,504,10227,1
10,2,4,5,4,0,0,2.921928095,1.0,1,0,0,365,0
21,0,3,5,13,1,0,3.916126946588284,0.0,0,0,504,9495,1
7,4,2,3,3,0,0,2.521640636343318,0.6901145403673209,1,2,78,9130,0
12,2,3,3,8,0,0,3.4182958340544896,1.0,1,1,1123,4383,0
7,4,3,3,3,0,0,2.807354922,0.885030104,1,1,553,10196,0
15,0,3,5,8,0,1,3.323231428797621,0.0,0,0,0,0,1
18,2,4,6,10,0,0,3.614369445886757,1.0,1,1,0,2556,0
12,0,1,1,7,2,1,3.2516291673878226,0.0,0,0,27,0,1
23,0,4,8,14,0,0,3.5555331514269954,0.0,0,0,0,0,1
13,4,2,3,9,0,0,3.0269868333592878,0.6744025550901184,1,5,1443,6209,0
7,0,1,2,4,0,0,2.235926350629033,0.0,0,0,0,0,1
14,2,4,5,8,0,0,3.182005815,1.0,1,1,255,0,1
15,2,3,4,10,0,0,3.373557262275185,1.0,1,0,5872,0,0
12,0,3,4,7,0,0,3.4182958340544896,0.0,0,0,27,0,1
16,12,5,7,7,0,0,3.625,0.7636363636363637,1,1,128,0,0
16,0,3,5,9,0,1,3.452819531114783,0.0,0,0,0,0,1
6,6,1,2,3,0,0,2.2516291673878226,0.8045249937707243,1,1,1021,10226,0
12,2,3,3,5,3,0,3.4182958340544896,1.0,1,0,9899,365,0
9,4,2,3,5,0,0,2.94770277922009,0.9090909090909092,1,1,1976,5501,0
12,2,1,3,8,0,0,2.8553885422075336,1.0,1,1,0,3653,0
10,2,2,3,5,0,0,2.721928094887362,1.0,1,1,0,0,1
13,2,3,4,8,0,0,3.3927474104487847,1.0,1,1,726,0,0
19,0,3,5,13,0,0,3.431623565847431,0.0,0,0,0,0,1
10,0,2,2,7,0,0,3.321928094887362,0.0,0,0,0,0,1
7,5,2,3,3,0,0,2.521640636,0.928571429,1,1,87,11112,0
31,0,5,8,17,4,0,4.091135423220311,0.0,0,0,0,3652,1
20,0,4,8,11,0,0,3.721928095,0.0,1,0,0,0,1
7,2,2,3,3,0,0,2.521640636343318,1.0,1,1,518,0,1
16,0,4,6,9,0,0,3.625,0.0,0,0,0,0,1
15,0,3,6,7,0,0,3.1898980954642875,0.0,0,0,0,0,1
19,0,3,6,12,0,0,3.3660913291191923,0.0,0,0,27,0,1
9,0,1,2,6,0,0,2.5032583347756456,0.0,0,0,0,0,1
14,2,3,4,7,2,0,3.664497779200461,1.0,1,1,461,0,0
13,4,4,5,7,0,0,3.3927474104487847,0.7118906921454456,1,0,0,365,0
14,0,3,4,9,0,0,3.378783493486176,0.0,0,0,0,0,1
13,2,3,5,7,0,0,3.180832987205441,1.0,1,3,980,1461,0
22,0,4,6,14,0,0,3.6292196865240967,0.0,0,0,27,4018,1
14,2,3,4,7,0,0,2.8423709931771093,1.0,1,1,305,0,1
13,0,1,1,11,0,0,3.546593564294939,0.0,0,0,0,0,1
18,2,4,5,12,0,0,3.8365916681089782,1.0,1,1,1043,2557,0
12,0,2,3,8,0,0,3.2516291673878226,0.0,0,0,0,0,1
13,0,3,4,8,0,0,3.3927474104487847,0.0,0,0,0,0,1
19,0,4,7,10,0,0,3.5110854081804272,0.0,1,0,0,9862,1
19,3,4,9,9,0,0,3.4058222502856905,0.9499999999999998,1,1,740,6575,1
11,2,3,4,6,0,0,3.2776134368191165,1.0,1,5,0,5479,0
11,0,2,2,7,0,0,3.095795255,0.0,1,0,92,10248,1
17,2,3,6,10,0,0,3.0286393118385746,1.0,1,1,668,0,0
16,0,3,5,10,0,0,3.327819531114783,0.0,0,0,0,0,1
13,0,3,6,6,0,0,3.0850551027564768,0.0,0,0,0,0,1
13,0,2,4,6,1,0,3.0269868333592878,0.0,0,0,20,8765,1
16,0,4,6,7,1,0,3.5,0.0,0,0,142,365,1
10,0,1,1,3,5,0,3.121928095,0.0,1,0,0,0,1
16,3,3,6,9,0,0,2.9056390622295662,0.9444444444444444,1,1,435,2557,1
24,0,3,7,11,2,0,3.6053885422075336,0.0,1,0,0,0,1
18,2,3,6,11,0,0,3.5724312513221195,1.0,1,0,0,0,0
12,0,3,6,5,0,0,3.022055209,0.0,1,0,0,0,1
15,2,5,5,8,0,1,3.640223928941852,1.0,1,2,383,731,0
31,0,5,8,16,5,0,4.155651552252569,0.0,0,0,0,3652,1
16,0,4,6,9,0,0,3.5,0.0,0,0,0,0,1
13,2,3,4,8,0,0,3.238901257,1.0,1,4,1255,6940,0
10,3,3,3,6,0,0,3.321928094887362,0.9333333333333332,1,0,292,6209,0
14,2,4,6,7,0,0,3.235926350629033,0.0,0,0,0,3287,0
38,0,3,11,20,2,1,3.881713119735858,0.0,1,0,0,6209,1
16,0,3,4,11,0,0,3.2806390622295662,0.0,0,0,27,0,1
28,0,4,11,16,0,0,3.726474118254376,0.0,0,0,0,0,1
17,2,3,5,11,0,0,3.292770194,1.0,1,1,10,1826,1
23,0,4,7,14,0,0,3.762267390651494,0.0,0,0,0,0,1
18,2,3,5,12,0,0,3.614369445886757,1.0,1,1,327,4748,0
14,4,4,5,8,0,0,3.378783493,0.674426094,0,5,0,4018,0
13,2,3,4,8,0,0,3.238901256602631,1.0,1,7,63,10227,0
15,2,3,5,8,0,0,3.1898980954642875,1.0,1,1,1080,0,0
13,0,2,2,10,0,0,3.392747410448785,0.0,0,0,27,0,1
14,0,4,6,7,0,0,3.521640636343318,0.0,0,0,0,0,1
13,0,3,3,8,0,1,3.238901256602631,0.0,0,0,0,0,1
16,2,3,5,10,0,0,3.625,1.0,1,1,0,0,0
13,4,4,5,7,0,0,3.3927474104487847,0.6666741564618208,1,1,3420,10838,0
12,4,2,3,8,0,0,3.2516291673878226,0.8313030638612035,1,1,0,2922,0
9,0,1,1,7,0,0,3.169925001442312,0.0,0,0,27,0,1
18,0,2,4,13,0,0,3.002172223183764,0.0,0,0,27,0,1
20,0,4,8,11,0,0,3.2709505944546686,0.0,0,0,0,0,1
11,0,3,4,6,0,0,3.095795255,0.0,1,0,0,0,1
16,2,5,5,7,3,0,3.75,1.0,1,0,0,365,0
10,2,2,3,6,0,0,3.1219280948873624,1.0,1,1,1272,1461,0
9,0,2,2,6,0,0,2.94770277922009,0.0,0,0,27,0,1
14,2,3,5,8,0,0,3.378783493486176,1.0,1,5,221,2557,0
10,3,2,4,5,0,0,2.8464393446710154,0.9444444444444444,1,1,1169,8035,0
17,4,2,5,10,0,1,3.4992275471326924,0.9090909090909092,1,0,266,1832,0
8,0,3,3,4,0,0,2.75,0.0,1,0,0,0,1
23,4,4,8,14,0,0,3.621175542919471,0.9166666666666666,1,1,34,0,0
10,8,3,3,6,0,0,3.121928095,0.539303792,1,5,1138,6574,0
11,0,2,3,7,0,0,2.913977073182752,0.0,0,0,0,0,1
12,8,3,5,5,0,0,3.084962501,0.818262722,1,1,1456,11083,0
12,0,3,3,7,0,1,3.584962500721156,0.0,0,0,0,0,1
9,0,3,3,5,0,0,2.94770277922009,0.0,0,0,0,0,1
12,2,3,5,6,0,0,3.251629167,1.0,1,1,38,8401,0
16,0,3,4,11,0,0,3.452819531114783,0.0,0,0,27,0,1
23,0,4,7,14,1,0,3.588354347,0.0,1,0,0,0,1
17,2,4,4,7,2,3,3.690116518,1.0,1,0,0,1461,0
6,0,2,2,3,0,0,2.584962500721156,0.0,0,0,0,0,1
13,3,4,5,7,0,0,3.546593564294939,0.9473684210526316,1,3,1025,0,0
11,8,3,3,7,0,0,3.095795255,0.904761905,1,0,0,6575,0
20,2,4,8,10,0,0,3.546439344671016,1.0,1,1,454,0,0
8,5,1,1,6,0,0,2.5,0.928571429,1,1,504,9496,0
11,2,3,4,5,0,1,3.277613436819116,1.0,1,5,753,0,1
13,2,4,5,7,0,0,3.238901256602631,1.0,1,5,4063,3653,0
12,2,4,5,5,0,0,2.8553885422075336,1.0,1,0,984,0,0
12,2,4,4,7,0,0,3.584962500721156,1.0,1,2,922,0,0
20,0,3,5,12,0,2,3.546439345,0.0,1,0,0,0,1
19,0,5,7,11,0,0,3.6818808028034025,0.0,0,0,0,0,1
28,4,3,8,17,0,2,3.494680368408909,0.8583333333333334,2,0,814,5113,0
12,0,3,4,7,0,0,3.418295834054489,0.0,0,0,0,0,1
10,3,1,2,7,0,0,3.121928095,0.933333333,0,2,0,8766,0
18,2,3,7,10,0,0,3.2390979179887864,1.0,1,5,3610,5844,0
29,0,3,5,12,10,0,3.978333581185264,0.0,1,0,0,2922,1
12,0,3,4,6,0,0,2.918295834,0.0,0,0,0,2192,1
9,2,2,2,3,3,0,2.94770277922009,1.0,1,0,0,365,0
14,2,2,3,7,3,0,3.378783493486176,1.0,1,0,868,1096,0
17,0,4,7,9,0,0,3.337175341,0.0,1,0,0,0,1
17,6,3,5,9,0,2,3.4548224,0.954545455,0,0,0,1096,0
15,4,4,5,9,0,0,3.773557262275185,0.7032045623552196,1,5,6266,8036,0
10,4,2,4,5,0,0,2.6464393446710157,0.9333333333333336,1,1,307,11322,0
8,2,1,1,6,0,0,2.155639062,1.0,1,1,0,0,0
19,0,3,7,10,0,0,3.366091329,0.0,1,0,51,3287,1
20,2,3,7,12,0,0,3.4464393446710155,1.0,1,1,52,365,0
14,4,3,6,7,0,0,3.1820058147602133,0.9685283687943262,1,0,0,0,1
6,2,1,1,3,1,0,2.584962500721156,0.0,0,0,0,365,1
14,8,3,4,9,0,0,3.378783493486176,0.5610376873861675,1,1,1283,9862,0
14,13,3,7,6,0,0,3.128085278891395,0.862850794081929,0,2,0,8766,0
23,2,5,10,12,0,0,3.5555331514269954,1.0,1,1,8,4382,0
12,0,3,5,6,0,0,3.2516291673878226,0.0,0,0,27,0,1
15,0,3,4,10,0,0,3.323231428797621,0.0,0,0,0,0,1
17,2,4,6,9,0,0,3.292770194,1.0,1,1,0,11142,0
11,4,3,5,5,0,0,3.0957952550009344,0.9333333333333336,1,1,419,7670,0
14,0,3,4,9,0,0,3.3248629576173574,0.0,0,0,27,0,1
20,0,3,6,11,0,1,3.6219280948873616,0.0,1,0,18,365,0
10,2,1,1,4,4,0,2.9219280948873623,1.0,1,0,1253,365,0
7,2,2,2,4,0,0,2.807354922,1.0,1,2,1097,9560,0
17,0,4,7,9,0,0,3.499227547,0.0,1,0,0,0,1
11,0,2,3,7,0,0,3.095795255000934,0.0,0,0,0,0,1
17,0,3,5,11,0,0,3.572469459,0.0,1,0,0,0,1
17,0,3,4,12,0,0,3.4548224,0.0,1,0,0,0,1
18,0,3,5,12,0,0,3.836591668,0.0,1,0,0,0,1
6,2,2,2,3,0,0,2.2516291673878226,1.0,1,0,1762,10956,0
9,8,3,4,4,0,0,2.9477027792200903,0.5288731822095127,1,0,253,5113,0
17,0,3,5,10,0,1,3.572469458770136,0.0,0,0,27,0,1
16,4,2,2,7,5,0,3.75,0.8709453405017921,1,2,375,6940,1
11,4,4,4,6,0,0,3.277613437,0.9375,1,2,0,7305,0
11,2,2,2,8,0,0,3.277613436819116,1.0,1,5,2298,2556,0
12,4,4,4,7,0,0,3.418295834,0.838888889,0,0,0,6209,0
33,2,4,12,20,0,0,3.861983513035609,1.0,1,0,122,2922,1
14,2,4,5,8,0,0,3.235926351,1.0,1,2,0,10344,0
11,4,2,3,5,2,0,3.095795255000934,0.9411764705882354,1,1,1110,5479,0
10,4,2,3,6,0,0,2.921928095,0.665961556,0,0,0,3653,0
11,3,4,5,5,0,0,3.095795255000934,0.8253968253968255,1,1,1106,0,0
22,0,5,8,13,0,0,3.823067982273661,0.0,0,0,0,0,1
13,4,3,5,7,0,0,2.873140679513133,0.8749183006535949,1,0,4186,731,0
9,4,3,3,5,0,0,2.947702779,0.9375,0,2,0,5844,0
21,2,5,7,11,0,0,3.6537567082870015,1.0,1,5,836,0,0
16,0,2,4,8,3,0,3.452819531114783,0.0,0,0,0,0,1
14,0,3,4,9,0,0,3.1820058147602133,0.0,0,0,0,0,1
13,4,2,5,7,0,0,2.931208949,0.947368421,1,2,0,2922,0
23,0,5,8,13,0,1,3.675310868912364,0.0,0,0,0,0,1
10,2,3,4,5,0,0,3.1219280948873624,1.0,1,1,0,9044,1
12,4,1,3,8,0,0,3.0220552088742,0.6742425944650413,1,2,404,10958,0
18,1,3,6,11,0,0,3.2810361125534238,1.0,1,0,79,0,0
22,0,3,9,10,0,0,3.1746742319786425,0.0,0,0,0,0,1
14,0,2,4,9,0,0,3.235926350629033,0.0,0,0,0,0,1
10,2,4,4,5,0,0,3.1219280948873624,1.0,1,1,105,2191,1
19,4,4,7,11,0,0,3.5766176449086657,0.96,1,2,0,4018,1
28,0,4,9,15,0,2,3.753434386188785,0.0,0,0,0,0,1
9,2,2,2,6,0,0,3.169925001442312,1.0,1,1,123,0,0
11,2,2,3,7,0,0,2.7321588913645702,1.0,1,2,2746,2191,0
17,2,4,7,9,0,0,3.4104172527605194,1.0,1,1,3087,5113,1
9,2,3,3,5,0,0,3.169925001442312,1.0,1,6,110,12783,0
14,0,3,5,6,2,0,3.182005815,0.0,1,0,0,0,1
14,0,3,5,8,0,0,3.521640636343318,0.0,0,0,0,0,1
25,4,3,9,14,0,0,3.353269689515108,0.9629629629629628,1,2,428,1826,0
8,4,2,3,4,0,0,2.5,0.9333333333333336,0,0,0,0,0
16,2,3,3,8,2,0,3.2806390622295662,1.0,1,1,305,0,1
11,0,3,4,6,0,0,3.277613437,0.0,1,0,0,0,1
14,2,2,3,7,3,0,3.0391486719030705,1.0,1,0,834,365,0
27,0,5,10,15,1,0,3.91211389097223,0.0,0,0,27,0,1
17,2,2,6,9,0,1,3.381580488309163,1.0,1,1,0,6575,0
23,0,5,9,13,0,0,3.675310868912364,0.0,0,0,0,0,1
12,2,2,4,7,0,0,3.0220552088742005,1.0,1,5,0,1826,0
6,2,2,2,3,0,0,2.584962501,1.0,1,1,178,10621,0
11,2,3,3,7,0,0,3.277613436819116,1.0,1,2,528,7238,0
14,0,3,5,7,0,0,3.1820058147602133,0.0,1,0,41,0,1
18,0,4,7,10,0,0,3.614369445886757,0.0,0,0,0,0,1
13,0,3,6,6,0,0,2.873140679513133,0.0,0,0,0,0,1
10,4,2,2,6,0,1,3.1219280948873624,0.7119922320124544,1,0,19,1826,0
12,4,3,4,7,0,0,3.084962501,0.68940194,0,5,0,4383,0
12,2,4,5,6,0,0,3.084962501,1.0,1,5,0,8401,0
16,0,4,7,8,0,0,3.625,0.0,0,0,0,0,1
9,0,2,2,3,3,0,2.6416041678685933,0.0,0,0,27,0,1
9,2,2,4,4,0,0,2.503258334775646,1.0,1,3,103,13028,0
16,0,2,6,9,0,0,3.375,0.0,0,0,27,0,1
8,2,3,3,4,0,0,3.0,1.0,1,4,33,10958,0
9,8,2,4,4,0,0,2.641604168,0.928571429,1,2,613,8766,0
17,0,4,5,10,0,1,3.6901165175936654,0.0,0,0,27,0,1
23,2,5,9,13,0,0,3.7081320646586016,1.0,1,1,593,7670,0
12,4,2,3,8,0,0,3.2516291673878226,0.9033796127146512,1,1,0,4748,1
20,0,5,8,11,0,0,3.484183719779189,0.0,0,0,0,0,1
17,0,4,6,9,0,0,3.381580488309163,0.0,0,0,0,5844,1
13,0,4,5,6,0,1,3.180832987205441,0.0,0,0,27,0,1
12,2,4,4,7,0,0,3.584962500721156,1.0,1,0,504,365,0
20,0,3,8,9,0,1,3.546439344671016,0.0,0,0,0,0,1
15,3,3,5,9,0,0,3.139572261986723,0.862914862914863,1,1,124,7305,1
9,1,3,4,4,0,0,2.947702779,1.0,2,1,28,1826,0
